projectname,cat2,forg,center,year,mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
de,avionicsmonitoring,g,2,1979.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,25.9,117.6
de,avionicsmonitoring,g,2,1979.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,24.6,117.6
de,avionicsmonitoring,g,2,1979.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,7.7,31.2
de,avionicsmonitoring,g,2,1979.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,8.2,36.0
de,avionicsmonitoring,g,2,1979.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,9.7,25.2
de,avionicsmonitoring,g,2,1979.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,2.2,8.4
de,avionicsmonitoring,g,2,1979.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,3.5,10.8
erb,avionicsmonitoring,g,2,1982.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,66.6,352.8
gal,missionplanning,g,1,1980.0,semidetached,h,l,h,xh,xh,l,h,h,h,h,n,h,h,h,n,7.5,72.0
gal,missionplanning,g,1,1980.0,semidetached,n,l,h,n,n,l,l,h,vh,vh,n,h,n,n,n,20.0,72.0
gal,missionplanning,g,1,1984.0,semidetached,n,l,h,n,n,l,l,h,vh,h,n,h,n,n,n,6.0,24.0
gal,missionplanning,g,1,1980.0,semidetached,n,l,h,n,n,l,l,h,vh,vh,n,h,n,n,n,100.0,360.0
gal,missionplanning,g,1,1985.0,semidetached,n,l,h,n,n,l,l,h,vh,n,n,l,n,n,n,11.3,36.0
gal,missionplanning,g,1,1980.0,semidetached,n,l,h,n,n,h,l,h,h,h,l,vl,n,n,n,100.0,215.0
gal,missionplanning,g,1,1983.0,semidetached,n,l,h,n,n,l,l,h,vh,h,n,h,n,n,n,20.0,48.0
gal,missionplanning,g,1,1982.0,semidetached,n,l,h,n,n,l,l,h,n,n,n,vl,n,n,n,100.0,360.0
gal,missionplanning,g,1,1980.0,semidetached,n,l,h,n,xh,l,l,h,vh,vh,n,h,n,n,n,150.0,324.0
gal,missionplanning,g,1,1984.0,semidetached,n,l,h,n,n,l,l,h,h,h,n,h,n,n,n,31.5,60.0
gal,missionplanning,g,1,1983.0,semidetached,n,l,h,n,n,l,l,h,vh,h,n,h,n,n,n,15.0,48.0
gal,missionplanning,g,1,1984.0,semidetached,n,l,h,n,xh,l,l,h,h,n,n,h,n,n,n,32.5,60.0
X,avionicsmonitoring,g,2,1985.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,19.7,60.0
X,avionicsmonitoring,g,2,1985.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,66.6,300.0
X,simulation,g,2,1985.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,29.5,120.0
X,monitor_control,g,2,1986.0,semidetached,h,n,n,h,n,n,n,n,h,h,n,n,n,n,n,15.0,90.0
X,monitor_control,g,2,1986.0,semidetached,h,n,h,n,n,n,n,n,h,h,n,n,n,n,n,38.0,210.0
X,monitor_control,g,2,1986.0,semidetached,n,n,n,n,n,n,n,n,h,h,n,n,n,n,n,10.0,48.0
X,realdataprocessing,g,2,1982.0,semidetached,n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,15.4,70.0
X,realdataprocessing,g,2,1982.0,semidetached,n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,48.5,239.0
X,realdataprocessing,g,2,1982.0,semidetached,n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,16.3,82.0
X,communications,g,2,1982.0,semidetached,n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,12.8,62.0
X,batchdataprocessing,g,2,1982.0,semidetached,n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,32.6,170.0
X,datacapture,g,2,1982.0,semidetached,n,vh,h,vh,vh,l,h,vh,h,n,l,h,vh,vh,l,35.5,192.0
X,missionplanning,g,2,1985.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,5.5,18.0
X,avionicsmonitoring,g,2,1987.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,10.4,50.0
X,avionicsmonitoring,g,2,1987.0,semidetached,h,l,h,n,n,l,l,n,n,n,n,h,h,n,l,14.0,60.0
X,monitor_control,g,2,1986.0,semidetached,h,n,h,n,n,n,n,n,n,n,n,n,n,n,n,6.5,42.0
X,monitor_control,g,2,1986.0,semidetached,n,n,h,n,n,n,n,n,n,n,n,n,n,n,n,13.0,60.0
X,monitor_control,g,2,1986.0,semidetached,n,n,h,n,n,n,n,n,n,h,n,h,h,h,n,90.0,444.0
X,monitor_control,g,2,1986.0,semidetached,n,n,h,n,n,n,n,n,n,n,n,n,n,n,n,8.0,42.0
X,monitor_control,g,2,1986.0,semidetached,n,n,h,h,n,n,n,n,n,n,n,n,n,n,n,16.0,114.0
hst,datacapture,g,2,1980.0,semidetached,n,h,h,vh,h,l,h,h,n,h,l,h,h,n,l,177.9,1248.0
slp,launchprocessing,g,6,1975.0,semidetached,h,l,h,n,n,l,l,n,n,h,n,n,h,vl,n,302.0,2400.0
Y,application_ground,g,5,1982.0,semidetached,n,h,l,n,n,h,n,h,h,n,n,n,h,h,n,282.1,1368.0
Y,application_ground,g,5,1982.0,semidetached,h,h,l,n,n,n,h,h,h,n,n,n,h,n,n,284.7,973.0
Y,avionicsmonitoring,g,5,1982.0,semidetached,h,h,n,n,n,l,l,n,h,h,n,h,n,n,n,79.0,400.0
Y,avionicsmonitoring,g,5,1977.0,semidetached,l,n,n,n,n,l,l,h,h,vh,n,h,l,l,h,423.0,2400.0
